(empty),(vide),
Account,Compte,
Age,Âge,
As at,Au,
Available,Disponible,
Available Funds,Argent disponible,
Available Funds per Unit,Argent disponible par unité,
Available incl. accounts receivable,Disponible incluant les comptes à recevoir,
Available incl. receivables,Disponible incl. créances,
Balance sheet by cost center,Bilan par centre de coûts,
Bank,Banque,
Bank Statement Importer,Importateur de relevés bancaires,
Banking,Banque,
Calculating…,Calcul en cours…,
Cash,Caisse,
Company,Compagnie,
Cost Center,Centre de coûts,
Custom ERPNext app for scout troop management,Application ERPNext personnalisée pour la gestion d'un groupe scout,
Customer Group Name is required.,Le nom du groupe de clients est requis.,
Date of Birth,Date de naissance,
Delete Demo Data,Supprimer les données de démonstration,
Display Order,Ordre d'affichage,
Error,Erreur,
Expenses & Reimbursements,Dépenses et remboursements,
Facebook,Facebook,
Fees & Collections,Cotisations et encaissements,
Fiscal Year,Année financière,
Financial Statements,États financiers,
Home,Accueil,
Journal & Period Close,Journal et clôture de période,
Liabilities,Passif,
Loading…,Chargement…,
Loading balances…,Chargement des soldes…,
No cost centers found.,Aucun centre de coût trouvé.,
No customers found in the Customer Group: {0},Aucun client trouvé dans le groupe de clients : {0},
Operational Reports,Rapports opérationnels,
Others,Autres,
Payments,Paiements,
Please select company and fiscal year.,Veuillez sélectionner la compagnie et l'année financière.,
Project,Projet,
Project Name,Nom du projet,
Project Profitability by Cost Center,Rentabilité par projet par centre de coût,
Receivable,À recevoir,
Refresh,Actualiser,
Scout Manager,Gestion scout,
Scout Treasurer,Trésorier scout,
Scouts & Parents,Scouts et parents,
Selected invoices have different {0}: {1}. Record one payment per {0}.,Les factures sélectionnées ont des {0} différents : {1}. Enregistrez un paiement par {0}.,
Sent,Envoyé,
Setup,Configuration,
To Date,Au,
Total,Total,
Treasurer Dashboard,Tableau de bord du trésorier,
Unit,Unité,
Units & Projects,Unités et projets,
incl. receivables,incl. créances,
receivable,à recevoir,
total,total,
